day,date,focus_area,command,expected_result,actual_result,status,owner,notes
1,,Environment validation,npm run readiness:gate,PASS >= 98,,,
2,,Healthcare trust proof,npm run proof:trust-layer,Example #1 passed,,,
3,,Finance trust proof,npm run proof:trust-layer,Example #2 passed,,,
4,,SecOps trust proof,npm run proof:trust-layer,Example #3 passed,,,
5,,KPI baseline,npm run pilot:kpis,KPI report PASS,,,
6,,Security evidence pack,npm run evidence:security-pack,Pack manifest PASS,,,
7,,Midpoint review,manual review,Open blockers triaged,,,
8,,Policy variation safety,manual + API checks,No unsafe profile accepted,,,
9,,Approval latency review,npm run pilot:kpis,Approval latency within threshold,,,
10,,Audit replay walkthrough,manual + API checks,Replay complete and understandable,,,
11,,Load and chaos rerun,npm run load:commercial + npm run chaos:commercial,PASS,,,
12,,Security checkpoint,manual review,Control matrix mapped,,,
13,,Executive narrative prep,manual review,Decision memo draft complete,,,
14,,Final go/no-go,npm run pilot:local,All gates PASS,,,
